Class,NominalLambdaMax,LambdaMaxShiftMin,LambdaMaxShiftMax,targetAge,ageRangeMin,ageRangeMax,targetContrast,measuredTargetContrast,meanContrast,stdContrast,meanAbsContrast,stdAbsContrast,minContrast,maxContrast,expectedValue
LCone,558.90,-10.00,10.00,1.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00421,0.00356,0.00225,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,1.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00298,0.00357,0.00265,-0.00189,0.00950,0.00328
SCone,420.70,-10.00,10.00,1.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00855,0.00747,0.00469,-0.01756,0.01472,0.00447
Melanopsin,480.00,-10.00,10.00,1.00,1.00,80.00,0.20000,0.20141,0.19482,0.01069,0.20095,0.01069,0.17922,0.22034,0.20126
LCone,558.90,-10.00,10.00,2.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00424,0.00359,0.00226,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,2.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00300,0.00355,0.00267,-0.00189,0.00950,0.00328
SCone,420.70,-10.00,10.00,2.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00861,0.00752,0.00471,-0.01756,0.01472,0.00447
Melanopsin,480.00,-10.00,10.00,2.00,1.00,80.00,0.20000,0.20141,0.19482,0.01077,0.20093,0.01077,0.17922,0.22034,0.20126
LCone,558.90,-10.00,10.00,3.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00427,0.00362,0.00227,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,3.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00303,0.00353,0.00269,-0.00189,0.00950,0.00328
SCone,420.70,-10.00,10.00,3.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00867,0.00756,0.00473,-0.01756,0.01472,0.00447
Melanopsin,480.00,-10.00,10.00,3.00,1.00,80.00,0.20000,0.20141,0.19482,0.01084,0.20091,0.01084,0.17922,0.22034,0.20126
LCone,558.90,-10.00,10.00,4.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00429,0.00364,0.00229,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,4.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00306,0.00351,0.00271,-0.00189,0.00950,0.00328
SCone,420.70,-10.00,10.00,4.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00872,0.00761,0.00475,-0.01756,0.01472,0.00447
Melanopsin,480.00,-10.00,10.00,4.00,1.00,80.00,0.20000,0.20141,0.19482,0.01091,0.20089,0.01091,0.17922,0.22034,0.20126
LCone,558.90,-10.00,10.00,5.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00432,0.00367,0.00229,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,5.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00309,0.00349,0.00272,-0.00189,0.00950,0.00327
SCone,420.70,-10.00,10.00,5.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00877,0.00765,0.00476,-0.01756,0.01472,0.00447
Melanopsin,480.00,-10.00,10.00,5.00,1.00,80.00,0.20000,0.20141,0.19482,0.01097,0.20087,0.01097,0.17922,0.22034,0.20126
LCone,558.90,-10.00,10.00,6.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00434,0.00369,0.00230,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,6.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00312,0.00347,0.00273,-0.00189,0.00950,0.00327
SCone,420.70,-10.00,10.00,6.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00882,0.00769,0.00477,-0.01756,0.01472,0.00447
Melanopsin,480.00,-10.00,10.00,6.00,1.00,80.00,0.20000,0.20141,0.19482,0.01103,0.20084,0.01103,0.17922,0.22034,0.20126
LCone,558.90,-10.00,10.00,7.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00436,0.00371,0.00231,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,7.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00314,0.00344,0.00272,-0.00189,0.00950,0.00326
SCone,420.70,-10.00,10.00,7.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00886,0.00772,0.00478,-0.01756,0.01472,0.00447
Melanopsin,480.00,-10.00,10.00,7.00,1.00,80.00,0.20000,0.20141,0.19482,0.01106,0.20082,0.01106,0.17922,0.22034,0.20125
LCone,558.90,-10.00,10.00,8.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00437,0.00372,0.00231,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,8.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00316,0.00341,0.00272,-0.00189,0.00950,0.00325
SCone,420.70,-10.00,10.00,8.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00891,0.00776,0.00478,-0.01756,0.01472,0.00447
Melanopsin,480.00,-10.00,10.00,8.00,1.00,80.00,0.20000,0.20141,0.19482,0.01110,0.20079,0.01110,0.17922,0.22034,0.20125
LCone,558.90,-10.00,10.00,9.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00438,0.00373,0.00231,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,9.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00319,0.00339,0.00271,-0.00209,0.00950,0.00324
SCone,420.70,-10.00,10.00,9.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00893,0.00777,0.00478,-0.01756,0.01472,0.00447
Melanopsin,480.00,-10.00,10.00,9.00,1.00,80.00,0.20000,0.20141,0.19482,0.01113,0.20076,0.01113,0.17922,0.22034,0.20124
LCone,558.90,-10.00,10.00,10.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00439,0.00374,0.00231,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,10.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00321,0.00336,0.00269,-0.00233,0.00950,0.00323
SCone,420.70,-10.00,10.00,10.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00894,0.00778,0.00477,-0.01756,0.01472,0.00446
Melanopsin,480.00,-10.00,10.00,10.00,1.00,80.00,0.20000,0.20141,0.19482,0.01114,0.20073,0.01114,0.17922,0.22034,0.20124
LCone,558.90,-10.00,10.00,11.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00439,0.00375,0.00231,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,11.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00324,0.00334,0.00268,-0.00258,0.00950,0.00321
SCone,420.70,-10.00,10.00,11.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00897,0.00779,0.00476,-0.01756,0.01472,0.00446
Melanopsin,480.00,-10.00,10.00,11.00,1.00,80.00,0.20000,0.20141,0.19482,0.01116,0.20070,0.01116,0.17922,0.22034,0.20123
LCone,558.90,-10.00,10.00,12.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00440,0.00375,0.00231,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,12.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00327,0.00332,0.00266,-0.00283,0.00950,0.00318
SCone,420.70,-10.00,10.00,12.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00899,0.00781,0.00476,-0.01756,0.01472,0.00446
Melanopsin,480.00,-10.00,10.00,12.00,1.00,80.00,0.20000,0.20141,0.19482,0.01116,0.20066,0.01116,0.17922,0.22034,0.20121
LCone,558.90,-10.00,10.00,13.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00440,0.00376,0.00231,-0.00685,0.00934,0.00195
MCone,530.30,-10.00,10.00,13.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00329,0.00330,0.00263,-0.00307,0.00950,0.00315
SCone,420.70,-10.00,10.00,13.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00899,0.00781,0.00475,-0.01756,0.01472,0.00445
Melanopsin,480.00,-10.00,10.00,13.00,1.00,80.00,0.20000,0.20141,0.19482,0.01117,0.20063,0.01117,0.17922,0.22034,0.20120
LCone,558.90,-10.00,10.00,14.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00440,0.00376,0.00230,-0.00685,0.00934,0.00196
MCone,530.30,-10.00,10.00,14.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00332,0.00328,0.00261,-0.00332,0.00950,0.00312
SCone,420.70,-10.00,10.00,14.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00900,0.00781,0.00474,-0.01756,0.01501,0.00445
Melanopsin,480.00,-10.00,10.00,14.00,1.00,80.00,0.20000,0.20141,0.19482,0.01117,0.20059,0.01117,0.17922,0.22034,0.20118
LCone,558.90,-10.00,10.00,15.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00439,0.00375,0.00230,-0.00685,0.00934,0.00196
MCone,530.30,-10.00,10.00,15.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00335,0.00326,0.00258,-0.00356,0.00950,0.00307
SCone,420.70,-10.00,10.00,15.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00901,0.00781,0.00473,-0.01756,0.01529,0.00444
Melanopsin,480.00,-10.00,10.00,15.00,1.00,80.00,0.20000,0.20141,0.19482,0.01116,0.20055,0.01116,0.17922,0.22034,0.20115
LCone,558.90,-10.00,10.00,16.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00439,0.00375,0.00230,-0.00690,0.00939,0.00196
MCone,530.30,-10.00,10.00,16.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00337,0.00324,0.00255,-0.00381,0.00950,0.00302
SCone,420.70,-10.00,10.00,16.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00901,0.00780,0.00472,-0.01756,0.01559,0.00444
Melanopsin,480.00,-10.00,10.00,16.00,1.00,80.00,0.20000,0.20141,0.19482,0.01115,0.20051,0.01115,0.17902,0.22034,0.20112
LCone,558.90,-10.00,10.00,17.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00438,0.00375,0.00230,-0.00694,0.00944,0.00197
MCone,530.30,-10.00,10.00,17.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00340,0.00323,0.00251,-0.00405,0.00950,0.00296
SCone,420.70,-10.00,10.00,17.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00902,0.00780,0.00472,-0.01756,0.01588,0.00443
Melanopsin,480.00,-10.00,10.00,17.00,1.00,80.00,0.20000,0.20141,0.19482,0.01113,0.20047,0.01113,0.17882,0.22034,0.20109
LCone,558.90,-10.00,10.00,18.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00438,0.00374,0.00229,-0.00698,0.00949,0.00197
MCone,530.30,-10.00,10.00,18.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00343,0.00321,0.00247,-0.00429,0.00950,0.00289
SCone,420.70,-10.00,10.00,18.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00902,0.00778,0.00471,-0.01756,0.01619,0.00442
Melanopsin,480.00,-10.00,10.00,18.00,1.00,80.00,0.20000,0.20141,0.19482,0.01112,0.20043,0.01112,0.17862,0.22034,0.20105
LCone,558.90,-10.00,10.00,19.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00437,0.00374,0.00229,-0.00703,0.00954,0.00197
MCone,530.30,-10.00,10.00,19.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00346,0.00320,0.00244,-0.00453,0.00950,0.00282
SCone,420.70,-10.00,10.00,19.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00902,0.00778,0.00471,-0.01756,0.01649,0.00441
Melanopsin,480.00,-10.00,10.00,19.00,1.00,80.00,0.20000,0.20141,0.19482,0.01110,0.20038,0.01110,0.17842,0.22034,0.20100
LCone,558.90,-10.00,10.00,20.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00436,0.00373,0.00229,-0.00707,0.00959,0.00198
MCone,530.30,-10.00,10.00,20.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00349,0.00319,0.00240,-0.00477,0.00950,0.00273
SCone,420.70,-10.00,10.00,20.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00902,0.00776,0.00471,-0.01756,0.01680,0.00440
Melanopsin,480.00,-10.00,10.00,20.00,1.00,80.00,0.20000,0.20141,0.19482,0.01108,0.20033,0.01108,0.17821,0.22034,0.20095
LCone,558.90,-10.00,10.00,21.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00436,0.00371,0.00230,-0.00711,0.00964,0.00198
MCone,530.30,-10.00,10.00,21.00,1.00,80.00,0.00000,0.00294,-0.00164,0.00352,0.00318,0.00236,-0.00501,0.00950,0.00265
SCone,420.70,-10.00,10.00,21.00,1.00,80.00,0.00000,-0.00237,0.01156,0.00903,0.00775,0.00472,-0.01756,0.01712,0.00439
Melanopsin,480.00,-10.00,10.00,21.00,1.00,80.00,0.20000,0.20130,0.19482,0.01106,0.20028,0.01106,0.17801,0.22034,0.20089
LCone,558.90,-10.00,10.00,22.00,1.00,80.00,0.00000,-0.00007,0.00250,0.00435,0.00370,0.00230,-0.00715,0.00969,0.00199
MCone,530.30,-10.00,10.00,22.00,1.00,80.00,0.00000,0.00267,-0.00164,0.00355,0.00318,0.00232,-0.00525,0.00950,0.00256
SCone,420.70,-10.00,10.00,22.00,1.00,80.00,0.00000,-0.00218,0.01156,0.00903,0.00773,0.00473,-0.01756,0.01744,0.00439
Melanopsin,480.00,-10.00,10.00,22.00,1.00,80.00,0.20000,0.20120,0.19482,0.01104,0.20022,0.01104,0.17780,0.22034,0.20082
LCone,558.90,-10.00,10.00,23.00,1.00,80.00,0.00000,-0.00007,0.00250,0.00434,0.00369,0.00231,-0.00719,0.00974,0.00200
MCone,530.30,-10.00,10.00,23.00,1.00,80.00,0.00000,0.00240,-0.00164,0.00358,0.00317,0.00228,-0.00548,0.00950,0.00246
SCone,420.70,-10.00,10.00,23.00,1.00,80.00,0.00000,-0.00199,0.01156,0.00904,0.00772,0.00476,-0.01756,0.01776,0.00438
Melanopsin,480.00,-10.00,10.00,23.00,1.00,80.00,0.20000,0.20109,0.19482,0.01102,0.20016,0.01102,0.17759,0.22034,0.20074
LCone,558.90,-10.00,10.00,24.00,1.00,80.00,0.00000,-0.00007,0.00250,0.00434,0.00369,0.00232,-0.00723,0.00980,0.00201
MCone,530.30,-10.00,10.00,24.00,1.00,80.00,0.00000,0.00213,-0.00164,0.00362,0.00318,0.00224,-0.00572,0.00950,0.00237
SCone,420.70,-10.00,10.00,24.00,1.00,80.00,0.00000,-0.00178,0.01156,0.00906,0.00772,0.00478,-0.01756,0.01809,0.00437
