Subject no.	a (deoxy-hemoglobin)	b (oxy-hemoglobin)	c (melanin)	log (e) (scatter)
1	0.677	1.731	2.830	-0.775
2	0.875	1.648	3.002	-0.420
3	0.788	0.742	2.855	-1.936
4	0.835	1.266	2.264	-1.080
5	0.849	1.223	2.987	-1.635
6	0.676	1.167	2.354	-1.082
7	0.695	1.652	3.086	-1.054
8	0.591	1.411	2.540	-0.274
9	0.969	1.440	3.079	-0.877
10	0.547	1.092	2.648	-1.178
11	0.759	1.642	2.796	-1.431
12	0.624	1.510	2.459	-0.700
13	0.694	1.088	2.755	-1.199
14	0.540	0.936	2.146	-1.036
15	0.984	1.494	2.106	-0.308
16	0.821	1.430	2.659	-0.867
17	0.910	1.216	2.513	-0.629
18	0.738	1.278	2.544	-0.324
19	0.600	1.267	3.381	-1.018
20	0.481	1.327	2.072	-1.074
21	0.671	1.160	2.858	-0.743
22	0.796	1.277	2.328	-0.890
23	0.969	1.666	2.881	-1.005
24	0.536	1.368	2.932	-0.971
25	0.812	1.592	2.097	-1.183
26	0.673	1.552	2.536	-1.145
27	0.853	1.750	2.661	-0.716
Mean	0.739	1.368	2.643	-0.825
Std. deviation	0.142	0.251	0.343	0.397
Std. deviation/mean (%)	19	18	13	48
